model,target,MAE,RMSE,R2,MAE_CI95,RMSE_CI95,R2_CI95
random_forest,eu_ets_carbon_price_eur,26.49297775295541,35.80240941865096,-0.5436812931396262,"[25.66252354789165, 27.202650225728377]","[35.04347630799874, 36.443876405469716]","[-0.5914663160067393, -0.4937073210833481]"
random_forest,ghg_reduction_pct,22.117133350731603,1006.5553321552653,-35920.751112027145,"[4.125159729023839, 56.682598417675656]","[11.833731969293474, 1742.1361360279345]","[-122230.0353775656, -3.861806674649626]"
random_forest,policy_effectiveness_score,0.009509616128552084,0.03341889707428624,0.9882253376900597,"[0.008491915303884361, 0.010588580038709269]","[0.026311419262573445, 0.040302420244822966]","[0.9827412179132691, 0.9928012714722537]"
xgboost,eu_ets_carbon_price_eur,27.744098335705935,36.17783841933477,-0.5762255446116511,"[27.00877852701976, 28.424540252653255]","[35.49712850247424, 36.82124530882842]","[-0.6242748404761416, -0.5304085507171048]"
xgboost,ghg_reduction_pct,4.431819088600164,13.379709608799116,-5.3471033086466235,"[4.0123318856274715, 4.815477043428567]","[12.251797739578747, 14.406659038343061]","[-7.583463174712612, -3.756189330898766]"
xgboost,policy_effectiveness_score,0.003242719665661652,0.0316905422673436,0.9894117648843713,"[0.002284484771067965, 0.004349014364641111]","[0.01986078630812137, 0.0415812553235001]","[0.9817401843716878, 0.9958043264862423]"
lightgbm,eu_ets_carbon_price_eur,26.49297775295541,35.80240941865096,-0.5436812931396262,"[25.66253266545657, 27.26473117378758]","[35.03124323694472, 36.484147935955136]","[-0.5965332443268683, -0.4932400597334517]"
lightgbm,ghg_reduction_pct,22.117133350731603,1006.5553321552653,-35920.751112027145,"[4.079124267203429, 56.752281365052184]","[11.692520728282641, 1742.1381563373282]","[-124236.91397420179, -3.6846716429044877]"
lightgbm,policy_effectiveness_score,0.009509616128552084,0.03341889707428624,0.9882253376900597,"[0.00852540715923147, 0.010556883474320608]","[0.0256648117895971, 0.0411115365014465]","[0.9824012465716027, 0.9929647515705481]"
catboost,eu_ets_carbon_price_eur,26.49297775295541,35.80240941865096,-0.5436812931396262,"[25.723188629805453, 27.235250879642557]","[35.11812771234428, 36.4573377940118]","[-0.5952196147778358, -0.4929310199893756]"
catboost,ghg_reduction_pct,22.117133350731603,1006.5553321552653,-35920.751112027145,"[4.059916906324262, 56.97001745226547]","[11.690465667339634, 1742.1422481979955]","[-124099.76251350692, -3.592673896899332]"
catboost,policy_effectiveness_score,0.009509616128552084,0.03341889707428624,0.9882253376900597,"[0.008500759924996474, 0.01062461398819302]","[0.02608878058436837, 0.04069814055107553]","[0.9823763720104514, 0.9928910402905322]"
ffnn,eu_ets_carbon_price_eur,7.365966119480529,11.395884329546266,0.8436027195984519,"[7.096525092132992, 7.64387015419718]","[10.35243513174127, 12.493886460628396]","[0.8123523196594322, 0.8700263092052185]"
ffnn,ghg_reduction_pct,2.4555257539815303,5.331130995837018,-0.007675965130363505,"[2.3037500745100536, 2.6084019920624213]","[4.69257373107874, 6.176877964809494]","[-0.025759272829667643, 0.005865603589284657]"
ffnn,policy_effectiveness_score,0.9223662909419676,1.1254238782427957,-12.353542284389714,"[0.90045400513357, 0.9444393648700874]","[1.1059546984487132, 1.1449568225845168]","[-13.386665333674326, -11.439098672892042]"
lstm,eu_ets_carbon_price_eur,27.064861500526202,36.70762808411745,-0.6227281784735526,"[26.221632090979732, 27.872029367503224]","[35.9379479769494, 37.40373761223038]","[-0.6779917890510635, -0.5686341790844227]"
lstm,ghg_reduction_pct,2.6087905543736123,5.392365792081294,-0.03095778339983868,"[2.468985105910156, 2.772276036203438]","[4.752504697673067, 6.24501159313258]","[-0.054538265536141696, -0.013312368419360305]"
lstm,policy_effectiveness_score,0.30903312383169196,0.3418881197496906,-0.23234485072938504,"[0.3044096759569798, 0.3137238780112582]","[0.3373453546945309, 0.34644059626209833]","[-0.30170952855642963, -0.17613372255464796]"
ensemble,eu_ets_carbon_price_eur,26.83680817274255,35.90265329262215,-0.5523377624521706,"[26.07046756066882, 27.653816814727076]","[35.18438221236621, 36.61947029021629]","[-0.6058108745137336, -0.5045015124730583]"
ensemble,ghg_reduction_pct,14.994909995920024,604.0353390189996,-12935.204941445952,"[4.120547170351467, 35.74339363632148]","[11.812269852071124, 1045.3667686521899]","[-43576.73481228229, -3.7529758075827746]"
ensemble,policy_effectiveness_score,0.006825320873239468,0.029359558972282894,0.9909121052189341,"[0.00592481357589482, 0.007795203137347861]","[0.020929443835726196, 0.03717188064203346]","[0.9853433247024483, 0.9954161970029051]"
